Epoch,Average_Meta_Loss
1,2.7728047370910645
2,2.7729148864746094
3,2.7734391689300537
4,2.773329734802246
5,2.7732033729553223
6,2.7729101181030273
7,2.773179292678833
8,2.772970199584961
9,2.772681713104248
10,2.772876262664795
11,2.772975206375122
12,2.7728569507598877
13,2.7730133533477783
14,2.7729198932647705
15,2.7732343673706055
16,2.772935152053833
17,2.7732858657836914
18,2.773463487625122
19,2.77306866645813
20,2.772824764251709
21,2.773192882537842
22,2.773254871368408
23,2.7731852531433105
24,2.77302622795105
25,2.773106336593628
26,2.7732834815979004
27,2.7731215953826904
28,2.7727932929992676
29,2.7729716300964355
30,2.772944927215576
31,2.773228645324707
32,2.77278995513916
33,2.772815227508545
34,2.773146867752075
35,2.773099184036255
36,2.77313232421875
37,2.7732744216918945
38,2.773146629333496
39,2.7731051445007324
40,2.773137331008911
41,2.7729392051696777
42,2.77308988571167
43,2.7730321884155273
44,2.7730720043182373
45,2.772993803024292
46,2.7729949951171875
47,2.7730953693389893
48,2.773252487182617
49,2.773026704788208
50,2.7729620933532715
51,2.773426055908203
52,2.772871494293213
53,2.7731127738952637
54,2.773228406906128
55,2.7732951641082764
56,2.7731785774230957
57,2.7733845710754395
58,2.7729339599609375
59,2.7730872631073
60,2.773203134536743
61,2.772836923599243
62,2.773499011993408
63,2.7729897499084473
64,2.7730393409729004
65,2.7728352546691895
66,2.7732975482940674
67,2.773271083831787
68,2.7728939056396484
69,2.773275136947632
70,2.773057222366333
71,2.7733402252197266
72,2.7731592655181885
73,2.7735249996185303
74,2.773200511932373
75,2.77299165725708
76,2.7731986045837402
77,2.773461103439331
78,2.7730586528778076
79,2.773138999938965
80,2.7729640007019043
81,2.772817373275757
82,2.7731642723083496
83,2.773184061050415
84,2.7730815410614014
85,2.7729413509368896
86,2.7730369567871094
87,2.7732319831848145
88,2.772916793823242
89,2.7730069160461426
90,2.773022174835205
91,2.7732455730438232
92,2.772942543029785
93,2.772901773452759
94,2.7731270790100098
95,2.773200750350952
96,2.7734603881835938
97,2.7732834815979004
98,2.77301287651062
99,2.7730023860931396
100,2.772885799407959
